List of functions with unknown behavior (and their header files)

    ControlsTab::#constructor;    D:\Klocwork_Training\notepad-plus-plus-master\notepad-plus-plus-master\PowerEditor\src\WinControls\TabBar\ControlsTab.h
<SYSTEM>    _wtof;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdlib.h
<SYSTEM>    _wtoi;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdlib.h
<SYSTEM>    acos;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    acosf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    acoshf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    acoshl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    asin;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    asinf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    asinhf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    asinhl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    atan;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    atan2;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    atan2f;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    atanf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    atanhf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    atanhl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    cbrtf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    cbrtl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    ceil;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    ceilf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    copysignf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    copysignl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    cos;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    cosf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    cosh;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    coshf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    erfcf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    erfcl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    erff;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    erfl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    exp;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    exp2f;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    exp2l;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    expf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    expm1f;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    expm1l;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    fabs;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    fdimf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    fdiml;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    floor;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    floorf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    fma;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    fmaf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    fmal;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    fmaxf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    fmaxl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    fminf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    fminl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    fmod;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    fmodf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    frexp;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    ilogbf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    ilogbl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    iswalnum;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wctype.h
<SYSTEM>    iswalpha;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wctype.h
<SYSTEM>    iswascii;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wctype.h
<SYSTEM>    iswdigit;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wctype.h
<SYSTEM>    iswupper;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wctype.h
<SYSTEM>    labs;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdlib.h
<SYSTEM>    ldexp;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    ldiv;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdlib.h
<SYSTEM>    lgammaf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    lgammal;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    llabs;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdlib.h
<SYSTEM>    lldiv;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdlib.h
<SYSTEM>    llrintf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    llrintl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    llroundf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    llroundl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    log;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    log10;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    log10f;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    log1pf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    log1pl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    log2f;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    log2l;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    logbf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    logbl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    logf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    lrintf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    lrintl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    lroundf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    lroundl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    lstrlenW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinBase.h
<SYSTEM>    modf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    modff;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    mouse_event;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    nearbyintf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    nearbyintl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    nextafterf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    nextafterl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    nexttowardf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    nexttowardl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    pow;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    powf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    remainderf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    remainderl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    remquo;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    remquof;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    remquol;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    rintf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    rintl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    roundf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    roundl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    scalblnf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    scalblnl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    scalbnf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    scalbnl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    sin;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    sinf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    sinh;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    sinhf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    sqrt;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    sqrtf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    srand;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdlib.h
<SYSTEM>    std::_Debug_message;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xutility
<SYSTEM>    std::_Facet_Register;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xfacet
<SYSTEM>    std::_Locinfo::_Locinfo_Addcats;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocinfo
<SYSTEM>    std::_Locinfo::_Locinfo_ctor;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocinfo
<SYSTEM>    std::_Locinfo::_Locinfo_dtor;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocinfo
<SYSTEM>    std::_Lockit::#constructor;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\yvals.h
<SYSTEM>    std::_Lockit::#destructor;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\yvals.h
<SYSTEM>    std::_Syserror_map;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\system_error
<SYSTEM>    std::_Throw_C_error;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthread
<SYSTEM>    std::_Throw_Cpp_error;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthread
<SYSTEM>    std::_Winerror_map;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\system_error
<SYSTEM>    std::_Winerror_message;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\system_error
<SYSTEM>    std::_Xbad_alloc;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xutility
<SYSTEM>    std::_Xinvalid_argument;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xutility
<SYSTEM>    std::_Xlength_error;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xutility
<SYSTEM>    std::_Xout_of_range;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xutility
<SYSTEM>    std::_Xruntime_error;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xutility
<SYSTEM>    std::ios_base::Init::_Init_ctor;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xiosbase
<SYSTEM>    std::ios_base::Init::_Init_dtor;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xiosbase
<SYSTEM>    std::ios_base::_Addstd;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xiosbase
<SYSTEM>    std::ios_base::_Ios_base_dtor;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xiosbase
<SYSTEM>    std::locale::_Init;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocale
<SYSTEM>    std::locale::_Locimp::_Locimp_Addfac;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocale
<SYSTEM>    std::locale::_Locimp::_Locimp_ctor;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocale
<SYSTEM>    std::locale::_Locimp::_Locimp_dtor;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocale
<SYSTEM>    std::locale::_Locimp::_Makeloc;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocale
<SYSTEM>    std::setw;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\iomanip
<SYSTEM>    stricmp;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\string.h
<SYSTEM>    strnicmp;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\string.h
<SYSTEM>    strtof;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdlib.h
<SYSTEM>    strtold;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdlib.h
<SYSTEM>    strtoll;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdlib.h
<SYSTEM>    strtoull;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdlib.h
<SYSTEM>    tan;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    tanf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    tanh;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    tanhf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    tgammaf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    tgammal;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    tolower;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\ctype.h
<SYSTEM>    towlower;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wctype.h
<SYSTEM>    truncf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    truncl;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    uaw_CharUpperW;    C:\Program Files (x86)\Windows Kits\8.1\Include\shared\stralign.h
<SYSTEM>    uaw_lstrcmpW;    C:\Program Files (x86)\Windows Kits\8.1\Include\shared\stralign.h
<SYSTEM>    uaw_lstrcmpiW;    C:\Program Files (x86)\Windows Kits\8.1\Include\shared\stralign.h
<SYSTEM>    uaw_lstrlenW;    C:\Program Files (x86)\Windows Kits\8.1\Include\shared\stralign.h
<SYSTEM>    uaw_wcsicmp;    C:\Program Files (x86)\Windows Kits\8.1\Include\shared\stralign.h
<SYSTEM>    wcsicmp;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstring.h
<SYSTEM>    wcsnicmp;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstring.h
<SYSTEM>    wcsnlen;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstring.h
<SYSTEM>    wcsspn;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstring.h
<SYSTEM>    wcstod;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdlib.h
<SYSTEM>    wcstof;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdlib.h
<SYSTEM>    wcstok_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstring.h
<SYSTEM>    wcstol;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdlib.h
<SYSTEM>    wcstold;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdlib.h
<SYSTEM>    wcstoll;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdlib.h
<SYSTEM>    wcstoul;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdlib.h
<SYSTEM>    wcstoull;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdlib.h
<SYSTEM>    wsprintfW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
